Country,Population,Percentage of World Population,Total Area (km2),Percentage Water,Total Nominal GDP,Per Capita GDP,Continent_Name
 Australia,25337100,0.32899999999999996,76920242,0.76,$1.500 trillion ,"$59,655 ",Oceania
 Madagascar,25263000,0.33,5870412,55012.0,$10.372 billion,$405,Africa
 Cameroon,24348251,0.32,4754422,0.57,$38.445 billion ,"$1,544 ",Africa
 Taiwan,23589192,0.31,361972,23577271.0,$603 billion,"$25,534",Asia
 Niger,22314743,0.29,12670002,0.02,$9.869 billion ,$510 ,Africa
 Sri Lanka,21670112,0.28,656102,4.4,$92.504 billion ,"$4,265 ",Asia
 Burkina Faso,20870060,0.27,2742002,0.146,$14.192 billion,$729,Africa
 Romania,19523621,0.25,2383972,3.0,$244.158 billion ,"$12,506 ",Europe
 Chile,19107216,0.25,756096,1.07,$305 billion ,"$16,277 ",South America
 Syria,18499181,0.24,1851802,1.1,$24.6 billion,"$1,400",Asia
 Kazakhstan,18463184,0.24,27249002,1.7,$195 billion ,"$10,447 ",Asia
 Guatemala,17679735,0.23,1088892,0.4,$79.109 billion ,"$4,582 ",North America
 Malawi,17563749,0.23,1184842,20.6,$6.364 billion,$331,Africa
 Zambia,17381168,0.23,7526182,1.0,$23.137 billion,"$1,342",Africa
 Netherlands,17313800,0.225,415432,18.41,$914 billion ,"$53,016 ",Europe
 Ecuador,17224900,0.22399999999999998,2835612,5.0,$106.289 billion,"$6,155",South America
 Cambodia,16289270,0.21,1810352,2.5,$24.360 billion,"$1,559",Asia
 Senegal,16209125,0.21,1967122,2.1,$24.240 billion ,"$1,485 ",Africa
 Chad,15692969,0.2,12840002,1.9,$11 billion ,$890 ,Africa
 Somalia,15636171,0.2,6376572,11031386.0,US$17.405 billion ,"US$1,671 ",Africa
 Zimbabwe,15159624,0.2,3907572,1.0,$22.290 billion,"$1,424",Africa
 South Sudan,12778250,0.17,6197452,12230730.0,$3.194 billion,$246,Africa
 Rwanda,12374397,0.16,263382,5.3,$10.211 billion,$830,Africa
 Guinea,12218357,0.16,2458362,0.0,$9.183 billion,$707,Africa
 Benin,11733059,0.15,1147632,0.4,$10.546 billion ,$923 ,Africa
 Haiti,11577779,0.15,277502,0.7,$7.897 billion ,$719 ,North America
 Tunisia,11551448,0.15,1636102,5.0,$41.662 billion,"$3,573",Africa
 Bolivia,11469896,0.15,10985812,1.29,$45.045 billion ,"$3,942 ",South America
 Belgium,11460522,0.15,306882,6.4,$536 billion ,"$46,979 ",Europe
 Cuba,11221060,0.15,1098842,0.94,US$ 96.851 billion ,"US$ 8,433 ",North America
 Burundi,10953317,0.14,278342,10.0,$3.393 billion,$343,Africa
 Greece,10741165,0.14,1319572,0.8669,$224.033 billion ,"$20,930 ",Europe
 Czech Republic,10649800,0.14,788662,2.0,$264 billion ,"$24,938 ",Europe
 Jordan,10401100,0.135,893422,0.6,$41.869 billion ,"$4,228 ",Asia
 Portugal,10291027,0.13,922122,0.5,$239.473 billion,"$23,311",Europe
 Sweden,10246901,0.13,4502952,8.7,$563 billion ,"$54,135 ",Europe
 Azerbaijan,9981457,0.13,866002,1.6,$45.592 billion ,"$4,586 ",Europe
 Hungary,9771000,0.13,930302,0.74,$164.527 billion ,"$16,905 ",Europe
 Belarus,9475200,0.12,2075952,1.4,$60 billion,"$6,372",Europe
 Honduras,9158345,0.12,1124922,9112867.0,$23.835 billion ,"$2,829 ",North America
 Israel,9022920,0.11699999999999999,20770220722,2.1,$390.656 billion ,"$43,199 ",Asia
 Tajikistan,8931000,0.12,1431002,1.8,$7.350 billion ,$807 ,Asia
 Austria,8859992,0.12,838792,1.7,$477.672 billion ,"$53,764 ",Europe
 Papua New Guinea,8558800,0.11,4628402,2.0,$21.543 billion ,"$2,504",Oceania
 Switzerland,8542323,0.11,412852,4.2,$709 billion ,"$83,583 ",Europe
 Sierra Leone,7901454,0.10300000000000001,717402,1.1,$3.824 billion,$505,Africa
 Togo,7538000,0.098,567852,4.2,$4.797 billion,$621,Oceania
 Paraguay,7152703,0.09300000000000001,4067522,2.3,$44.557 billion ,"$6,229 ",South America
 Laos,7123205,0.092,2379552,2.0,$18.337 billion,"$2,706",Asia
 Bulgaria,7000039,0.091,110993,2.16,$66.242 billion ,"$9,504 ",Europe
 El Salvador,6704864,0.087,210412,1.5,$25.855 billion ,"$4,041 ",North America
